Game ID,Team 1 Name,Team 2 Name,Date,Home Player 1,Home Player 2,Home Player 3,Home Player 4,Home Player 5,Home Player 6,Home Player 7,Home Player 8,Home Player 9,Home Player 10,Home Player 11,Away Player 1,Away Player 2,Away Player 3,Away Player 4,Away Player 5,Away Player 6,Away Player 7,Away Player 8,Away Player 9,Away Player 10,Away Player 11
g_1_EoqJGsfr,Everton,Watford,05/11/2017,Leighton Baines,Beni Baningime,Tom Davies,Idrissa Gueye,Phil Jagielka,Michael Keane,Jonjoe Kenny,Oumar Niasse,Jordan Pickford,Wayne Rooney,Gylfi Sigurdsson,Miguel Britos,Andre Carrillo,Tom Cleverley,Abdoulaye Doucoure,Heurelho Gomes,Andre Gray,Jose Holebas,Will Hughes,Christian Kabasele,Kiko,Richarlison
g_1_MBnRELOf,Manchester City,Arsenal,05/11/2017,Sergio Aguero,Kevin De Bruyne,Fabian Delph,Ederson,Fernandinho,Nicolas Otamendi,Leroy Sane,David Silva,Raheem Sterling,John Stones,Kyle Walker,Hector Bellerin,Petr Cech,Francis Coquelin,Alex Iwobi,Sead Kolasinac,Laurent Koscielny,Nacho Monreal,Mesut Ozil,Aaron Ramsey,Alexis Sanchez,Granit Xhaka
g_1_Y7kEz3oE,Tottenham,Crystal Palace,05/11/2017,Serge Aurier,Eric Dier,Christian Eriksen,Paulo Gazzaniga,Harry Kane,Danny Rose,Davinson Sanchez,Moussa Sissoko,Son Heung-min,Jan Vertonghen,Harry Winks,Yohan Cabaye,Scott Dann,Timothy Fosu-Mensah,Ruben Loftus-Cheek,Luka Milivojevic,Mamadou Sakho,Jeffery Schlupp,Julian Speroni,Andros Townsend,Joel Ward,Wilfried Zaha
g_1_SUQ9PxwD,Manchester United,Newcastle,18/11/2017,David de Gea,Victor Lindelof,Romelu Lukaku,Anthony Martial,Juan Mata,Nemanja Matic,Paul Pogba,Marcus Rashford,Chris Smalling,Luis Valencia,Ashley Young,Ciaran Clark,Rob Elliot,Dwight Gayle,Isaac Hayden,Joselu,Florian Lejeune,Javier Manquillo,Jacob Murphy,Matt Ritchie,Jonjo Shelvey,Deandre Yedlin
g_1_UZrNYtGQ,Bournemouth,Huddersfield,18/11/2017,Nathan Ake,Harry Arter,Asmir Begovic,Steve Cook,Charlie Daniels,Simon Francis,Jordon Ibe,Joshua King,Marc Pugh,Andrew Surman,Callum Wilson,Martin Cranie,Laurent Depoitre,Florent Hadergjonaj,Tom Ince,Mathias Jorgensen,Elias Kachunga,Jonas Lossl,Scott Malone,Aaron Mooy,Rajiv van La Parra,Daniel Williams
g_1_fZe62RhE,Burnley,Swansea,18/11/2017,Ashley Barnes,Robbie Brady,Jack Cork,Steven Defour,Johann Gudmundsson,Jeff Hendrick,Matthew Lowton,Ben Mee,Nick Pope,James Tarkowski,Stephen Ward,Tammy Abraham,Jordan Ayew,Sam Clucas,Nathan Dyer,Lukasz Fabianski,Leroy Fer,Federico Fernandez,Alfie Mawson,Kyle Naughton,Martin Olsson,Renato Sanches
g_1_v9YdSvgf,Crystal Palace,Everton,18/11/2017,Yohan Cabaye,Scott Dann,Ruben Loftus-Cheek,James Mcarthur,Luka Milivojevic,Mamadou Sakho,Jeffery Schlupp,Julian Speroni,Andros Townsend,Joel Ward,Wilfried Zaha,Leighton Baines,Idrissa Gueye,Phil Jagielka,Michael Keane,Jonjoe Kenny,Aaron Lennon,Ademola Lookman,Oumar Niasse,Jordan Pickford,Morgan Schneiderlin,Gylfi Sigurdsson
g_1_MXN1Rb80,Leicester,Manchester City,18/11/2017,Marc Albrighton,Christian Fuchs,Demarai Gray,Vicente Iborra,Harry Maguire,Riyad Mahrez,Wes Morgan,Wilfred Ndidi,Kasper Schmeichel,Danny Simpson,Jamie Vardy,Kevin De Bruyne,Fabian Delph,Ederson,Fernandinho,Jesus Gabriel,Vincent Kompany,Leroy Sane,David Silva,Raheem Sterling,John Stones,Kyle Walker
g_1_Y7R5QIN6,Liverpool,Southampton,18/11/2017,Trent Alexander-Arnold,Coutinho,Roberto Firmino,Jordan Henderson,Ragnar Klavan,Dejan Lovren,Sadio Mane,Simon Mignolet,Alberto Moreno,Mohamed Salah,Georginio Wijnaldum,Ryan Bertrand,Sofiane Boufal,Steven Davis,Fraser Forster,Wesley Hoedt,Shane Long,Nathan Redmond,Oriol Romeu,Cedric Soares,Dusan Tadic,Virgil van Dijk
g_1_rw9dmtVJ,West Brom,Chelsea,18/11/2017,Gareth Barry,Jonny Evans,Ben Foster,Kieran Gibbs,Ahmed Hegazy,Grzegorz Krychowiak,Jake Livermore,Gareth Mcauley,Matt Phillips,Jay Rodriguez,Salomon Rondon,Marcos Alonso,Cesar Azpilicueta,Tiemoue Bakayoko,Gary Cahill,Andreas Christensen,Thibaut Courtois,Cesc Fabregas,Eden Hazard,N'Golo Kanté,Alvaro Morata,Davide Zappacosta
g_1_WrVlU0Os,Arsenal,Tottenham,18/11/2017,Hector Bellerin,Petr Cech,Sead Kolasinac,Laurent Koscielny,Alexandre Lacazette,Nacho Monreal,Shkodran Mustafi,Mesut Ozil,Aaron Ramsey,Alexis Sanchez,Granit Xhaka,Dele Alli,Ben Davies,Mousa Dembele,Eric Dier,Christian Eriksen,Harry Kane,Hugo Lloris,Davinson Sanchez,Moussa Sissoko,Kieran Trippier,Jan Vertonghen
g_1_6LPDOdhJ,Watford,West Ham,19/11/2017,Miguel Britos,Tom Cleverley,Abdoulaye Doucoure,Heurelho Gomes,Andre Gray,Will Hughes,Christian Kabasele,Kiko,Adrian Mariappa,Richarlison,Marvin Zeegelaar,Marko Arnautovic,Andrew Carroll,Aaron Cresswell,Joe Hart,Cheikhou Kouyate,Manuel Lanzini,Mark Noble,Pedro Obiang,Angelo Ogbonna,Winston Reid,Pablo Zabaleta
g_1_0IZhTKwl,Brighton,Stoke,20/11/2017,Gaetan Bong,Shane Duffy,Lewis Dunk,Pascal Gross,Jose Izquierdo,Anthony Knockaert,Glenn Murray,Davy Propper,Mathew Ryan,Bruno Saltor,Dale Stephens,Joe Allen,Eric Maxim Choupo-Moting,Mame Diouf,Darren Fletcher,Lee Grant,Erik Pieters,Xherdan Shaqiri,Ryan Shawcross,Ramadan Sobhi,Kevin Wimmer,Kurt Zouma
g_1_rLgeyzxP,West Ham,Leicester,24/11/2017,Marko Arnautovic,Andrew Carroll,Aaron Cresswell,Joe Hart,Cheikhou Kouyate,Manuel Lanzini,Arthur Masuaku,Pedro Obiang,Angelo Ogbonna,Winston Reid,Pablo Zabaleta,Marc Albrighton,Christian Fuchs,Demarai Gray,Vicente Iborra,Harry Maguire,Riyad Mahrez,Wes Morgan,Wilfred Ndidi,Kasper Schmeichel,Danny Simpson,Jamie Vardy
g_1_zylytbNg,Liverpool,Chelsea,25/11/2017,Coutinho,Joe Gomez,Jordan Henderson,Ragnar Klavan,Joel Matip,Simon Mignolet,James Milner,Alberto Moreno,Alex Oxlade-Chamberlain,Mohamed Salah,Daniel Sturridge,Marcos Alonso,Cesar Azpilicueta,Tiemoue Bakayoko,Gary Cahill,Andreas Christensen,Thibaut Courtois,Daniel Drinkwater,Eden Hazard,N'Golo Kanté,Alvaro Morata,Davide Zappacosta
